Altium Designer Pick and Place Locations
B:\Applications\hardware\pca20035\trunk\production_files\400390_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       21.01.21
Time:       12:24
Revision:   18791
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R52","N.C.","BottomLayer","RESC0603X03L_C_NC","23.9950","36.0600","270","Not mounted"
"R51","N.C.","BottomLayer","RESC0603X03L_C_NC","18.3500","20.7500","90","Not mounted"
"U17","TCK106AG","BottomLayer","BGA4C40P2X2_76X76X62","17.5000","20.7000","90","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"TP41","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","16.2000","21.1000","180","1.0mm circular SMD testpad"
"TP40","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","14.7000","21.1000","180","1.0mm circular SMD testpad"
"TP39","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","13.2000","21.1000","180","1.0mm circular SMD testpad"
"R50","100k","BottomLayer","RESC0603X03L_C","17.2750","22.0000","270","Resistor, ±1%, 0.05W"
"R8","1k","TopLayer","RESC0603X03L_C","15.8242","10.0838","180","Resistor, ±1%, 0.05W"
"C68","100nF","TopLayer","CAPC0603X03L_C","14.7066","10.0838","180","Capacitor, X5R, ±10%"
"C2","100nF","TopLayer","CAPC0603X03L_C","7.4810","23.6287","270","Capacitor, X5R, ±10%"
"C1","15pF","TopLayer","CAPC0603X03L_C","6.8310","23.6287","270","Capacitor, NP0, ±5%, 25V"
"C4","100nF","TopLayer","CAPC0603X03L_C","7.4060","17.1770","90","Capacitor, X5R, ±10%"
"C66","100nF","TopLayer","CAPC0603X03L_C","8.7810","9.2770","270","Capacitor, X5R, ±10%"
"C65","15pF","TopLayer","CAPC0603X03L_C","8.1310","9.2770","270","Capacitor, NP0, ±5%, 25V"
"C67","47µF","TopLayer","CAPC2012X11L","10.0060","9.2770","270","Capacitor, X5R, ±20%, 10V"
"C63","4.7µF","TopLayer","CAPC1608X06L","8.3060","17.1770","90","Capacitor, X5R, ±10%"
"C64","4.7µF","TopLayer","CAPC1608X06L","7.6060","15.3770","180","Capacitor, X5R, ±10%"
"R7","10k","TopLayer","RESC0603X03L_C","11.0060","22.4270","360","Resistor, ±1%, 0.05W"
"FB1","120R/0.7A","TopLayer","INDC1005X04L","10.0310","23.1020","270","Ferrite Bead, 120 Ohm @ 100MHz, 700mA, 130 mOhm Max"
"C3","47µF","TopLayer","CAPC2012X11L","8.7060","23.6270","270","Capacitor, X5R, ±20%, 10V"
"C6","33nF","TopLayer","CAPC0603X03L_C","36.2774","11.0966","180","Capacitor, X5R, ±10%"
"U4","BGA524N6","TopLayer","XFDFN40P100X55-6N","35.4000","10.0700","270","GPS/GNSS Low-Noise Amplifier, 19.6dB Gain, 0.55dB Noise Figure, 1.5V to 3.3V Supply Range"
"J2","MHF I Receptacle","TopLayer","COAXIAL_RF_U.FL-R-SMT-1","33.2000","18.5375","360","Ultraminiature Coaxial Connector, 50 Ohm, SMD"
"C62","39pF","TopLayer","CAPC0603X03L_C","32.1984","16.7000","360","Capacitor, NP0, ±1%, 25V"
"C60","39pF","TopLayer","CAPC0603X03L_C","33.1984","14.5828","90","Capacitor, NP0, ±1%, 25V"
"C61","39pF","TopLayer","CAPC0603X03L_C","34.2000","16.7000","360","Capacitor, NP0, ±1%, 25V"
"L2","68nH","TopLayer","INDC1005X04L_WW","33.2000","16.2000","90","Inductor, 140mA, ±2%, 1960mO, Q=20"
"U16","NX3DV2567","BottomLayer","XQFN40P180X260X50-16N","21.7170","37.8206","90","Low-ohmic four-pole double-throw analog switch"
"R49","1M0","BottomLayer","RESC0603X03L_C","22.2250","35.8394","0","Resistor, ±1%, 0.05W"
"C34","100nF","BottomLayer","CAPC0603X03L_C","24.0030","38.1254","180","Capacitor, X5R, ±10%"
"U15","MFFx_M2M_UICC","BottomLayer","SON127P600X90_HS-8N","27.6350","46.2534","270","M2M UICC SIM Card"
"C59","N.C.","BottomLayer","CAPC0603X03L_C_NC","24.5364","43.1546","270","Not mounted"
"U14","FSA4157L6X","BottomLayer","PSON50P100X60-6N","16.7132","15.8267","270","Low-Voltage, SPDT Analog Switch, 1.65 V to 5.5 V"
"C58","100nF","BottomLayer","CAPC0603X03L_C","16.4338","16.9164","180","Capacitor, X5R, ±10%"
"U13","24CW160","BottomLayer","SOT-23-5","6.5786","19.6088","90","16 Kbit I2C Serial EEPROM with Software Write Protection, 1.6-5.5 V Supply"
"C7","100nF","BottomLayer","CAPC0603X03L_C","9.0170","20.8780","90","Capacitor, X5R, ±10%"
"SB13","Solderbridge","BottomLayer","Solderbridge","34.5000","14.0000","180","Solderbridge"
"SW4","PB SW","TopLayer","SW_TACTILE_2.6x3.0MM_4-LEAD","23.6730","8.6544","90","Nano-Miniature Top Actuated Tact Switch with extended life 3.0x2.6mm"
"R48","10M","BottomLayer","RESC0603X03L_C","9.7536","26.3144","270","Resistor, ±1%, 0.05W"
"R47","1k","BottomLayer","RESC0603X03L_C","12.0142","26.8478","180","Resistor, ±1%, 0.05W"
"Q8","RV2C010UNT2L","BottomLayer","DFN65P100X40-3L","10.7696","26.8224","360","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"SW2","AYZ0102AGRLC","TopLayer","AYZ0102AGRLC","4.4000","17.1000","270","Miniature slide switch, SPDT, Right-Angle, ON-ON, 12V, 100mA"
"TP38","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","7.9000","19.0000","0","1.0mm circular SMD testpad"
"TP37","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","7.9000","21.5000","0","1.0mm circular SMD testpad"
"TP36","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","17.3500","23.2500","90","1.0mm circular SMD testpad"
"TP35","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","15.0000","23.2500","90","1.0mm circular SMD testpad"
"TP34","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","12.6500","23.2500","90","1.0mm circular SMD testpad"
"TP32","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","35.5000","26.5000","0","1.5mm circular SMD testpad"
"TP33","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","21.5000","26.5000","0","1.5mm circular SMD testpad"
"R46","1M0","BottomLayer","RESC0603X03L_C","11.6534","22.7180","270","Resistor, ±1%, 0.05W"
"R45","1M0","BottomLayer","RESC0603X03L_C","15.4484","23.8910","270","Resistor, ±1%, 0.05W"
"R44","1M0","BottomLayer","RESC0603X03L_C","32.0900","39.8122","90","Resistor, ±1%, 0.05W"
"R43","1M0","BottomLayer","RESC0603X03L_C","36.0120","39.8122","90","Resistor, ±1%, 0.05W"
"R42","1M0","BottomLayer","RESC0603X03L_C","32.0802","48.1330","90","Resistor, ±1%, 0.05W"
"R41","1M0","BottomLayer","RESC0603X03L_C","36.0120","49.4308","270","Resistor, ±1%, 0.05W"
"Bz1","Buzzer","BottomLayer","Buzzer_SMD_7.5x7.5","27.0000","22.5000","360","Buzzer Transducer, 3.6V 100mA 2.7kHz 85dB @ 3.6V, SMD"
"TP17","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","17.0000","34.0000","0","1.5mm circular SMD testpad"
"TP7","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","26.9750","34.2900","180","1.0mm circular SMD testpad"
"SB6","Solderbridge","BottomLayer","Solderbridge","29.3370","34.2900","90","Solderbridge"
"SB5","Solderbridge","BottomLayer","Solderbridge","30.7340","34.2900","90","Solderbridge"
"TP22","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","4.6990","33.0200","180","1.0mm circular SMD testpad"
"R24","0.1R","BottomLayer","RESC1005X04L","8.1534","34.6964","90","Resistor, ±1%, 0.063W"
"R25","2R2","BottomLayer","RESC1005X04L","13.5636","34.4170","270","Resistor, ±1%, 0.063W"
"R31","2R2","BottomLayer","RESC1005X04L","16.2052","39.0652","360","Resistor, ±1%, 0.063W"
"C45","4.7µF","BottomLayer","CAPC1608X06L","16.6370","26.2890","360","Capacitor, X5R, ±10%"
"TP30","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","3.0000","23.8000","0","1.5mm circular SMD testpad"
"TP31","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","3.0000","26.8000","0","1.5mm circular SMD testpad"
"R40","100k","BottomLayer","RESC0603X03L_C","16.0274","14.4272","90","Resistor, ±1%, 0.05W"
"TP26","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","13.2500","5.6500","180","1.0mm circular SMD testpad"
"TP25","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","13.2500","3.6500","180","1.0mm circular SMD testpad"
"Q7","TSM250N02DCQ RFG","BottomLayer","DFN65P200X200X80_HS-6N","28.2250","28.4000","180","Dual N Ch MOFET, 5.8A, 55mOhm max, 620mW"
"Q6","TSM250N02DCQ RFG","BottomLayer","DFN65P200X200X80_HS-6N","32.2750","28.4000","180","Dual N Ch MOFET, 5.8A, 55mOhm max, 620mW"
